,Date,DayOfTheWeek,Time,NumberOfPeople,Longitude,Latitude
0,2016-10-30,0,10,10,-79.90675999999999,43.6533
1,2016-10-30,0,10:30,15,-79.90675999999999,43.6533
2,2016-10-30,0,11,9,-79.90675999999999,43.6533
3,2016-10-30,0,11:30,7,-79.90675999999999,43.6533
4,2016-10-30,0,12,10,-79.90675999999999,43.6533
5,2016-10-30,0,12:30,5,-79.90675999999999,43.6533
6,2016-10-30,0,13,4,-79.90675999999999,43.6533
7,2016-10-30,0,13:30,9,-79.90675999999999,43.6533
8,2016-10-30,0,14,3,-79.90675999999999,43.6533
9,2016-10-30,0,14:30,6,-79.90675999999999,43.6533
10,2016-10-30,0,9:30,1,-79.90675999999999,43.6533
11,2016-10-31,1,10,7,-79.90675999999999,43.6533
12,2016-10-31,1,10:30,5,-79.90675999999999,43.6533
13,2016-10-31,1,11,8,-79.90675999999999,43.6533
14,2016-10-31,1,11:30,9,-79.90675999999999,43.6533
15,2016-10-31,1,12,7,-79.90675999999999,43.6533
16,2016-10-31,1,12:30,7,-79.90675999999999,43.6533
17,2016-10-31,1,13,6,-79.90675999999999,43.6533
18,2016-10-31,1,13:30,4,-79.90675999999999,43.6533
19,2016-10-31,1,14,6,-79.90675999999999,43.6533
20,2016-10-31,1,14:30,9,-79.90675999999999,43.6533
21,2016-10-31,1,15,3,-79.90675999999999,43.6533
22,2016-10-31,1,17,2,-79.90675999999999,43.6533
23,2016-10-31,1,17:30,2,-79.90675999999999,43.6533
24,2016-10-31,1,18,1,-79.90675999999999,43.6533
25,2016-10-31,1,8,1,-79.90675999999999,43.6533
26,2016-10-31,1,8:30,2,-79.90675999999999,43.6533
27,2016-10-31,1,9,10,-79.90675999999999,43.6533
28,2016-10-31,1,9:30,7,-79.90675999999999,43.6533
29,2016-11-01,2,10,3,-79.90675999999999,43.6533
30,2016-11-01,2,10:30,3,-79.90675999999999,43.6533
31,2016-11-01,2,11,11,-79.90675999999999,43.6533
32,2016-11-01,2,11:30,3,-79.90675999999999,43.6533
33,2016-11-01,2,12,8,-79.90675999999999,43.6533
34,2016-11-01,2,12:30,7,-79.90675999999999,43.6533
35,2016-11-01,2,13,5,-79.90675999999999,43.6533
36,2016-11-01,2,13:30,5,-79.90675999999999,43.6533
37,2016-11-01,2,14,6,-79.90675999999999,43.6533
38,2016-11-01,2,14:30,4,-79.90675999999999,43.6533
39,2016-11-01,2,15,2,-79.90675999999999,43.6533
40,2016-11-01,2,15:30,3,-79.90675999999999,43.6533
41,2016-11-01,2,16,6,-79.90675999999999,43.6533
42,2016-11-01,2,17:30,1,-79.90675999999999,43.6533
43,2016-11-01,2,18:30,1,-79.90675999999999,43.6533
44,2016-11-01,2,7:30,1,-79.90675999999999,43.6533
45,2016-11-01,2,8,2,-79.90675999999999,43.6533
46,2016-11-01,2,8:30,1,-79.90675999999999,43.6533
47,2016-11-01,2,9,4,-79.90675999999999,43.6533
48,2016-11-01,2,9:30,1,-79.90675999999999,43.6533
49,2016-11-02,3,10,5,-79.90675999999999,43.6533
50,2016-11-02,3,10:30,7,-79.90675999999999,43.6533
51,2016-11-02,3,11,5,-79.90675999999999,43.6533
52,2016-11-02,3,11:30,3,-79.90675999999999,43.6533
53,2016-11-02,3,12,6,-79.90675999999999,43.6533
54,2016-11-02,3,12:30,7,-79.90675999999999,43.6533
55,2016-11-02,3,13,6,-79.90675999999999,43.6533
56,2016-11-02,3,13:30,4,-79.90675999999999,43.6533
57,2016-11-02,3,14,5,-79.90675999999999,43.6533
58,2016-11-02,3,14:30,1,-79.90675999999999,43.6533
59,2016-11-02,3,15,2,-79.90675999999999,43.6533
60,2016-11-02,3,15:30,3,-79.90675999999999,43.6533
61,2016-11-02,3,16,1,-79.90675999999999,43.6533
62,2016-11-02,3,16:30,1,-79.90675999999999,43.6533
63,2016-11-02,3,17,1,-79.90675999999999,43.6533
64,2016-11-02,3,17:30,1,-79.90675999999999,43.6533
65,2016-11-02,3,18,3,-79.90675999999999,43.6533
66,2016-11-02,3,18:30,1,-79.90675999999999,43.6533
67,2016-11-02,3,8,8,-79.90675999999999,43.6533
68,2016-11-02,3,8:30,1,-79.90675999999999,43.6533
69,2016-11-02,3,9,7,-79.90675999999999,43.6533
70,2016-11-02,3,9:30,5,-79.90675999999999,43.6533
71,2016-11-03,4,10,6,-79.90675999999999,43.6533
72,2016-11-03,4,10:30,2,-79.90675999999999,43.6533
73,2016-11-03,4,11,5,-79.90675999999999,43.6533
74,2016-11-03,4,11:30,4,-79.90675999999999,43.6533
75,2016-11-03,4,12,7,-79.90675999999999,43.6533
76,2016-11-03,4,12:30,2,-79.90675999999999,43.6533
77,2016-11-03,4,13,2,-79.90675999999999,43.6533
78,2016-11-03,4,13:30,5,-79.90675999999999,43.6533
79,2016-11-03,4,14,6,-79.90675999999999,43.6533
80,2016-11-03,4,14:30,4,-79.90675999999999,43.6533
81,2016-11-03,4,15,6,-79.90675999999999,43.6533
82,2016-11-03,4,15:30,7,-79.90675999999999,43.6533
83,2016-11-03,4,16,4,-79.90675999999999,43.6533
84,2016-11-03,4,16:30,1,-79.90675999999999,43.6533
85,2016-11-03,4,17,3,-79.90675999999999,43.6533
86,2016-11-03,4,17:30,3,-79.90675999999999,43.6533
87,2016-11-03,4,18,2,-79.90675999999999,43.6533
88,2016-11-03,4,18:30,1,-79.90675999999999,43.6533
89,2016-11-03,4,19,1,-79.90675999999999,43.6533
90,2016-11-03,4,7:30,2,-79.90675999999999,43.6533
91,2016-11-03,4,8,5,-79.90675999999999,43.6533
92,2016-11-03,4,8:30,3,-79.90675999999999,43.6533
93,2016-11-03,4,9,7,-79.90675999999999,43.6533
94,2016-11-03,4,9:30,7,-79.90675999999999,43.6533
95,2016-11-04,5,10,6,-79.90675999999999,43.6533
96,2016-11-04,5,10:30,6,-79.90675999999999,43.6533
97,2016-11-04,5,11,7,-79.90675999999999,43.6533
98,2016-11-04,5,11:30,3,-79.90675999999999,43.6533
99,2016-11-04,5,12,3,-79.90675999999999,43.6533
100,2016-11-04,5,12:30,5,-79.90675999999999,43.6533
101,2016-11-04,5,13,3,-79.90675999999999,43.6533
102,2016-11-04,5,13:30,2,-79.90675999999999,43.6533
103,2016-11-04,5,14,4,-79.90675999999999,43.6533
104,2016-11-04,5,14:30,3,-79.90675999999999,43.6533
105,2016-11-04,5,15,2,-79.90675999999999,43.6533
106,2016-11-04,5,15:30,10,-79.90675999999999,43.6533
107,2016-11-04,5,16,2,-79.90675999999999,43.6533
108,2016-11-04,5,16:30,1,-79.90675999999999,43.6533
109,2016-11-04,5,17:30,2,-79.90675999999999,43.6533
110,2016-11-04,5,18:30,1,-79.90675999999999,43.6533
111,2016-11-04,5,19,1,-79.90675999999999,43.6533
112,2016-11-04,5,20,1,-79.90675999999999,43.6533
